transaction_id,account_id,transaction_date,channel,merchant,amount,is_fraud
TXN0000001,ACC000586,2025-10-07 20:23:37,ONLINE,Amazon,36020.68,0
TXN0000002,ACC000082,2025-10-13 23:25:37,POS,ATM Withdrawal,46069.1,0
TXN0000003,ACC000480,2025-09-02 11:30:37,MOBILE_APP,Amazon,29065.98,0
TXN0000004,ACC000180,2025-08-18 17:09:37,ONLINE,Netflix,41945.5,0
TXN0000005,ACC000169,2025-10-21 12:50:37,ONLINE,Flipkart,1251.29,0
TXN0000006,ACC000410,2025-09-19 00:50:37,POS,Netflix,35249.32,1
TXN0000007,ACC000514,2025-10-25 11:24:37,ATM,Flipkart,14203.51,0
TXN0000008,ACC000059,2025-07-22 23:31:37,ATM,Amazon,12162.61,0
TXN0000009,ACC000590,2025-08-30 14:24:37,POS,Amazon,3764.89,0
TXN0000010,ACC000550,2025-10-24 10:54:37,ATM,ATM Withdrawal,9490.03,0
TXN0000011,ACC000335,2025-11-12 21:41:37,ATM,Swiggy,46152.1,1
TXN0000012,ACC000696,2025-08-29 23:36:37,POS,Amazon,20325.36,0
TXN0000013,ACC000090,2025-10-21 12:14:37,ONLINE,Swiggy,43178.91,0
TXN0000014,ACC000475,2025-07-01 23:16:37,ATM,ATM Withdrawal,49392.46,0
TXN0000015,ACC000321,2025-07-09 16:35:37,MOBILE_APP,Netflix,28250.55,0
TXN0000016,ACC000161,2025-07-16 12:08:37,ATM,Flipkart,35536.18,0
TXN0000017,ACC000543,2025-07-15 20:29:37,ONLINE,ATM Withdrawal,10603.05,0
TXN0000018,ACC000552,2025-10-31 07:28:37,POS,Netflix,21219.25,0
TXN0000019,ACC000236,2025-11-11 09:41:37,ONLINE,Swiggy,28791.2,0
TXN0000020,ACC000317,2025-10-26 02:54:37,MOBILE_APP,Netflix,38189.1,0
TXN0000021,ACC000536,2025-10-03 21:51:37,ONLINE,Flipkart,13985.31,0
TXN0000022,ACC000572,2025-09-24 02:29:37,ATM,ATM Withdrawal,12720.48,0
TXN0000023,ACC000644,2025-08-10 00:43:37,MOBILE_APP,Amazon,7614.6,0
TXN0000024,ACC000126,2025-07-10 10:43:37,POS,Netflix,46853.83,0
TXN0000025,ACC000621,2025-09-04 01:13:37,POS,Flipkart,38890.82,0
TXN0000026,ACC000798,2025-07-28 23:59:37,ATM,ATM Withdrawal,43554.68,0
TXN0000027,ACC000511,2025-08-07 07:03:37,ONLINE,Swiggy,38927.45,1
TXN0000028,ACC000332,2025-07-04 07:30:37,ATM,Amazon,23058.94,0
TXN0000029,ACC000661,2025-09-10 15:34:37,ONLINE,Amazon,3365.4,0
TXN0000030,ACC000386,2025-09-12 02:51:37,MOBILE_APP,Flipkart,11483.03,0
TXN0000031,ACC000022,2025-08-16 05:56:37,MOBILE_APP,Flipkart,1632.26,0
TXN0000032,ACC000209,2025-08-27 20:21:37,MOBILE_APP,ATM Withdrawal,11645.9,0
TXN0000033,ACC000511,2025-08-07 22:13:37,POS,Swiggy,14993.17,0
TXN0000034,ACC000274,2025-11-13 07:22:37,POS,ATM Withdrawal,43167.19,0
TXN0000035,ACC000340,2025-06-30 05:01:37,MOBILE_APP,Flipkart,14200.04,0
TXN0000036,ACC000700,2025-10-18 14:05:37,MOBILE_APP,Flipkart,8163.73,0
TXN0000037,ACC000215,2025-11-10 09:19:37,ONLINE,Amazon,29003.29,0
TXN0000038,ACC000187,2025-09-16 15:33:37,POS,ATM Withdrawal,39012.76,0
TXN0000039,ACC000156,2025-07-01 05:01:37,POS,ATM Withdrawal,34289.19,0
TXN0000040,ACC000754,2025-09-01 12:20:37,ATM,Flipkart,7625.05,0
TXN0000041,ACC000407,2025-07-15 22:04:37,MOBILE_APP,ATM Withdrawal,23277.51,0
TXN0000042,ACC000407,2025-08-29 14:24:37,ATM,Netflix,32143.87,0
TXN0000043,ACC000643,2025-11-02 00:08:37,ATM,Amazon,11807.11,0
TXN0000044,ACC000610,2025-08-10 15:51:37,MOBILE_APP,Amazon,6828.1,0
TXN0000045,ACC000325,2025-07-11 05:54:37,ATM,Amazon,36452.37,1
TXN0000046,ACC000539,2025-09-15 11:53:37,ATM,Flipkart,47862.58,0
TXN0000047,ACC000554,2025-07-26 10:11:37,ATM,Netflix,11273.22,0
TXN0000048,ACC000509,2025-07-13 13:41:37,ONLINE,Flipkart,17743.28,0
TXN0000049,ACC000230,2025-11-09 15:22:37,ATM,ATM Withdrawal,42673.52,0
TXN0000050,ACC000276,2025-07-12 00:58:37,ATM,Flipkart,35208.77,1
TXN0000051,ACC000418,2025-10-08 19:45:37,ONLINE,ATM Withdrawal,25486.69,0
TXN0000052,ACC000705,2025-07-07 00:45:37,MOBILE_APP,Netflix,628.45,0
TXN0000053,ACC000339,2025-11-02 03:45:37,MOBILE_APP,ATM Withdrawal,14178.61,0
TXN0000054,ACC000326,2025-10-05 19:07:37,MOBILE_APP,Swiggy,20024.23,0
TXN0000055,ACC000395,2025-09-12 03:02:37,POS,Amazon,48649.52,0
TXN0000056,ACC000514,2025-08-14 20:29:37,MOBILE_APP,Flipkart,12030.66,0
TXN0000057,ACC000089,2025-10-20 12:18:37,ATM,Amazon,41295.23,0
TXN0000058,ACC000572,2025-08-27 13:03:37,MOBILE_APP,Netflix,20350.39,0
TXN0000059,ACC000592,2025-06-29 15:55:37,MOBILE_APP,Swiggy,33433.85,0
TXN0000060,ACC000607,2025-10-06 22:08:37,MOBILE_APP,Flipkart,25555.45,0
TXN0000061,ACC000388,2025-09-02 03:45:37,ATM,Swiggy,41267.04,0
TXN0000062,ACC000676,2025-10-30 18:35:37,ONLINE,Amazon,48798.99,0
TXN0000063,ACC000229,2025-10-18 23:58:37,ONLINE,ATM Withdrawal,31482.14,0
TXN0000064,ACC000739,2025-08-31 19:18:37,MOBILE_APP,Netflix,45446.48,0
TXN0000065,ACC000146,2025-07-11 11:33:37,ONLINE,Netflix,11139.08,0
TXN0000066,ACC000174,2025-09-04 02:01:37,POS,Flipkart,10321.59,0
TXN0000067,ACC000678,2025-09-21 06:55:37,POS,Amazon,7707.61,0
TXN0000068,ACC000371,2025-09-15 10:04:37,ATM,Swiggy,16165.96,0
TXN0000069,ACC000258,2025-09-05 18:53:37,ATM,ATM Withdrawal,7776.84,0
TXN0000070,ACC000536,2025-10-02 09:40:37,ONLINE,Swiggy,17896.67,0
TXN0000071,ACC000298,2025-09-18 17:20:37,ATM,Swiggy,33145.67,0
TXN0000072,ACC000179,2025-11-14 15:06:37,POS,Amazon,31768.31,0
TXN0000073,ACC000534,2025-10-27 16:35:37,POS,Netflix,34040.98,0
TXN0000074,ACC000349,2025-09-06 21:02:37,ONLINE,Amazon,18601.61,0
TXN0000075,ACC000001,2025-10-11 08:37:37,ONLINE,Amazon,27854.4,0
TXN0000076,ACC000314,2025-11-07 05:37:37,ONLINE,ATM Withdrawal,29570.51,0
TXN0000077,ACC000272,2025-09-17 05:47:37,ATM,Netflix,12855.5,0
TXN0000078,ACC000207,2025-07-22 20:24:37,MOBILE_APP,ATM Withdrawal,31843.53,0
TXN0000079,ACC000045,2025-11-07 02:14:37,MOBILE_APP,Swiggy,30931.29,0
TXN0000080,ACC000730,2025-11-13 14:10:37,ONLINE,Swiggy,18422.0,0
TXN0000081,ACC000623,2025-08-15 05:47:37,ONLINE,Flipkart,21605.26,0
TXN0000082,ACC000593,2025-07-23 01:31:37,POS,Netflix,19329.33,0
TXN0000083,ACC000682,2025-08-05 11:20:37,ONLINE,Amazon,18680.56,0
TXN0000084,ACC000457,2025-09-06 13:29:37,MOBILE_APP,Netflix,4088.96,0
TXN0000085,ACC000659,2025-11-14 07:23:37,ATM,Amazon,20794.14,0
TXN0000086,ACC000474,2025-09-21 15:08:37,MOBILE_APP,Swiggy,29679.55,0
TXN0000087,ACC000067,2025-09-17 13:31:37,MOBILE_APP,Swiggy,49747.02,1
TXN0000088,ACC000771,2025-07-01 05:24:37,POS,Flipkart,6850.53,0
TXN0000089,ACC000042,2025-10-31 06:07:37,ONLINE,Netflix,20143.71,0
TXN0000090,ACC000397,2025-09-21 05:09:37,ATM,Amazon,16574.57,0
TXN0000091,ACC000079,2025-10-11 10:41:37,ATM,Amazon,11113.35,0
TXN0000092,ACC000772,2025-08-07 17:58:37,MOBILE_APP,Amazon,24897.46,0
TXN0000093,ACC000344,2025-09-25 09:11:37,ATM,Netflix,41217.27,1
TXN0000094,ACC000598,2025-07-25 00:28:37,MOBILE_APP,Amazon,34581.64,0
TXN0000095,ACC000343,2025-08-03 03:04:37,ATM,Flipkart,43609.44,1
TXN0000096,ACC000269,2025-07-15 06:16:37,ONLINE,Swiggy,49435.17,0
TXN0000097,ACC000306,2025-10-08 15:42:37,MOBILE_APP,Netflix,12825.69,0
TXN0000098,ACC000315,2025-08-23 22:11:37,POS,Swiggy,44301.29,0
TXN0000099,ACC000264,2025-08-24 00:16:37,POS,Flipkart,40118.41,0
TXN0000100,ACC000550,2025-10-26 05:35:37,ONLINE,Swiggy,2700.15,0
TXN0000101,ACC000145,2025-09-04 01:44:37,ONLINE,Flipkart,32850.46,0
TXN0000102,ACC000724,2025-10-08 17:36:37,ATM,ATM Withdrawal,22875.89,0
TXN0000103,ACC000070,2025-09-11 22:29:37,ONLINE,Amazon,524.64,0
TXN0000104,ACC000450,2025-08-21 13:34:37,POS,Flipkart,13750.5,0
TXN0000105,ACC000466,2025-09-11 09:42:37,MOBILE_APP,Flipkart,40142.84,0
TXN0000106,ACC000445,2025-10-23 20:52:37,ATM,Amazon,43915.28,1
TXN0000107,ACC000074,2025-10-16 01:03:37,MOBILE_APP,Flipkart,6936.18,0
TXN0000108,ACC000739,2025-10-09 15:09:37,POS,Swiggy,808.13,0
TXN0000109,ACC000738,2025-10-30 08:47:37,ONLINE,Flipkart,11118.2,0
TXN0000110,ACC000163,2025-07-26 00:45:37,POS,Netflix,26768.96,0
TXN0000111,ACC000098,2025-08-05 04:46:37,ATM,Amazon,5133.03,0
TXN0000112,ACC000675,2025-08-15 09:16:37,MOBILE_APP,Swiggy,20793.09,0
TXN0000113,ACC000059,2025-11-03 03:26:37,POS,Amazon,7826.36,0
TXN0000114,ACC000458,2025-08-21 22:45:37,POS,Netflix,8091.19,0
TXN0000115,ACC000737,2025-07-27 12:38:37,ONLINE,ATM Withdrawal,39880.54,0
TXN0000116,ACC000220,2025-07-27 03:30:37,POS,Swiggy,16287.18,0
TXN0000117,ACC000160,2025-10-24 03:28:37,ONLINE,Flipkart,48711.28,0
TXN0000118,ACC000203,2025-09-22 01:04:37,POS,Flipkart,32775.96,0
TXN0000119,ACC000696,2025-09-10 13:28:37,ATM,Amazon,21549.94,0
TXN0000120,ACC000216,2025-10-26 22:30:37,ATM,ATM Withdrawal,41441.89,1
TXN0000121,ACC000019,2025-11-13 02:15:37,MOBILE_APP,Amazon,24546.8,0
TXN0000122,ACC000287,2025-08-23 15:28:37,ATM,Flipkart,10105.44,0
TXN0000123,ACC000278,2025-08-09 20:24:37,ONLINE,Amazon,7071.43,0
TXN0000124,ACC000104,2025-06-29 17:35:37,ONLINE,Flipkart,29047.52,0
TXN0000125,ACC000052,2025-07-30 19:14:37,ONLINE,ATM Withdrawal,47225.61,0
TXN0000126,ACC000254,2025-08-28 11:41:37,ONLINE,Flipkart,22536.22,0
TXN0000127,ACC000306,2025-07-12 03:10:37,MOBILE_APP,Amazon,5571.45,0
TXN0000128,ACC000166,2025-10-15 22:02:37,MOBILE_APP,Swiggy,37373.27,1
TXN0000129,ACC000041,2025-09-30 22:46:37,ATM,Swiggy,1891.34,0
TXN0000130,ACC000592,2025-09-01 17:34:37,ATM,ATM Withdrawal,32375.87,1
TXN0000131,ACC000369,2025-07-30 09:16:37,ATM,ATM Withdrawal,36408.43,0
TXN0000132,ACC000661,2025-09-24 22:04:37,ONLINE,Flipkart,347.09,0
TXN0000133,ACC000110,2025-08-11 22:49:37,ATM,Flipkart,13137.92,0
TXN0000134,ACC000549,2025-10-05 23:42:37,ATM,ATM Withdrawal,24856.83,0
TXN0000135,ACC000168,2025-10-10 23:06:37,ATM,Netflix,23443.91,0
TXN0000136,ACC000203,2025-08-20 02:24:37,MOBILE_APP,Netflix,12885.73,0
TXN0000137,ACC000131,2025-08-12 03:55:37,POS,Amazon,10252.57,0
TXN0000138,ACC000055,2025-09-26 09:42:37,POS,Flipkart,854.06,0
TXN0000139,ACC000176,2025-07-27 11:11:37,ONLINE,Amazon,4443.32,0
TXN0000140,ACC000640,2025-10-01 19:32:37,ATM,ATM Withdrawal,21257.74,0
TXN0000141,ACC000124,2025-07-14 20:16:37,POS,Flipkart,28533.61,0
TXN0000142,ACC000794,2025-09-30 20:56:37,ATM,Flipkart,12253.63,0
TXN0000143,ACC000346,2025-07-17 08:20:37,ATM,Flipkart,3745.36,0
TXN0000144,ACC000311,2025-08-30 18:23:37,ATM,Swiggy,30950.59,0
TXN0000145,ACC000188,2025-07-01 10:53:37,ONLINE,Swiggy,29633.96,0
TXN0000146,ACC000251,2025-07-26 10:45:37,POS,Flipkart,39351.47,1
TXN0000147,ACC000209,2025-08-04 13:48:37,POS,ATM Withdrawal,39903.19,0
TXN0000148,ACC000003,2025-09-24 19:48:37,ATM,Swiggy,35459.03,1
TXN0000149,ACC000338,2025-07-12 01:28:37,ATM,Flipkart,26325.09,0
TXN0000150,ACC000375,2025-09-12 09:04:37,ATM,ATM Withdrawal,43345.23,1
TXN0000151,ACC000505,2025-10-29 23:00:37,MOBILE_APP,Flipkart,29180.59,0
TXN0000152,ACC000711,2025-08-23 15:31:37,ATM,Swiggy,13039.36,0
TXN0000153,ACC000605,2025-07-29 11:32:37,MOBILE_APP,Swiggy,41639.59,0
TXN0000154,ACC000526,2025-08-22 22:04:37,ATM,Amazon,41276.17,0
TXN0000155,ACC000259,2025-11-13 03:46:37,POS,Flipkart,48426.15,0
TXN0000156,ACC000469,2025-10-09 17:32:37,POS,Swiggy,9980.88,0
TXN0000157,ACC000702,2025-11-05 19:37:37,ATM,Swiggy,28792.69,0
TXN0000158,ACC000642,2025-10-31 19:17:37,ONLINE,Swiggy,33214.3,0
TXN0000159,ACC000090,2025-08-10 01:30:37,ONLINE,Netflix,20371.42,0
TXN0000160,ACC000313,2025-06-30 07:29:37,ONLINE,Swiggy,45216.29,0
TXN0000161,ACC000487,2025-09-13 16:59:37,MOBILE_APP,Netflix,30231.11,0
TXN0000162,ACC000150,2025-08-29 13:18:37,POS,Amazon,15042.96,0
TXN0000163,ACC000478,2025-10-20 05:30:37,ATM,ATM Withdrawal,17750.34,0
TXN0000164,ACC000278,2025-08-02 14:07:37,MOBILE_APP,Swiggy,16857.58,0
TXN0000165,ACC000124,2025-08-07 20:58:37,ATM,Swiggy,33083.87,0
TXN0000166,ACC000278,2025-08-29 01:16:37,POS,ATM Withdrawal,41164.51,1
TXN0000167,ACC000360,2025-10-18 14:02:37,MOBILE_APP,ATM Withdrawal,8454.06,0
TXN0000168,ACC000519,2025-10-17 22:04:37,POS,Flipkart,25033.99,0
TXN0000169,ACC000010,2025-06-29 13:23:37,POS,Amazon,19607.71,0
TXN0000170,ACC000673,2025-08-14 03:39:37,ONLINE,Amazon,47255.75,0
TXN0000171,ACC000772,2025-10-01 00:58:37,MOBILE_APP,Flipkart,49227.57,0
TXN0000172,ACC000683,2025-09-13 05:30:37,ATM,Netflix,46437.73,0
TXN0000173,ACC000303,2025-09-03 08:40:37,ONLINE,Swiggy,31238.48,0
TXN0000174,ACC000062,2025-10-26 15:50:37,MOBILE_APP,Swiggy,46897.03,0
TXN0000175,ACC000019,2025-07-09 20:47:37,ATM,Netflix,18249.76,0
TXN0000176,ACC000319,2025-11-13 05:20:37,POS,Netflix,18920.97,0
TXN0000177,ACC000334,2025-09-25 07:48:37,POS,Amazon,37515.88,1
TXN0000178,ACC000148,2025-08-02 15:44:37,ATM,Swiggy,47653.48,0
TXN0000179,ACC000604,2025-10-24 06:35:37,ONLINE,Flipkart,8761.78,0
TXN0000180,ACC000558,2025-07-04 04:35:37,MOBILE_APP,Netflix,14629.45,0
TXN0000181,ACC000693,2025-10-23 21:35:37,MOBILE_APP,Swiggy,48909.73,0
TXN0000182,ACC000708,2025-08-19 00:10:37,ONLINE,Flipkart,48154.83,0
